id,selected_ids,selected_ids_str,is_feasible,satisfaction,effort,dissatisfaction,risk
G_1,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_2,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_3,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_4,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_5,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_6,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_7,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_8,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_9,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_10,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_11,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_12,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_13,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_14,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_15,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_16,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_17,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_18,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_19,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_20,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_21,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_22,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_23,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_24,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
G_25,"['r1', 'r10', 'r11', 'r12', 'r2', 'r3', 'r4_r5', 'r6', 'r8', 'r9']","r1, r10, r11, r12, r2, r3, r4_r5, r6, r8, r9",True,19.428571428571427,42.0,25.857142857142858,26.0
